Ladder (4),(-6.0, -24.0, -5.0),(1.0, 1.0, 1.0),pb_Mesh-172436,(0.0, 1.0, 0.0, 0.0),Untagged
Cube (1),(2.0, -27.0, -3.0),(1.0, 1.0, 1.0),pb_Mesh72528,(0.0, 0.0, 0.0, 1.0),Untagged
SnowballPile,(-11.7, -27.0, -15.3),(1.7, 1.7, 1.7),SnowballPile,(0.0, -0.3, 0.0, 0.9),Untagged
Crate (5),(-19.0, -26.0, -20.0),(0.5, 0.5, 0.5),pb_Mesh-172750,(0.0, -0.4, 0.0, 0.9),Untagged
Crate (1),(-18.9, -25.0, -24.2),(1.0, 1.0, 1.0),pb_Mesh-172738,(0.0, 0.0, 0.0, 1.0),Untagged
Crate (2),(-15.6, -26.0, -24.7),(0.5, 0.5, 0.5),pb_Mesh-172450,(0.0, -0.1, 0.0, 1.0),Untagged
Crate (6),(-13.0, -26.0, -23.0),(0.5, 0.5, 0.5),pb_Mesh-172284,(0.0, 0.4, 0.0, 0.9),Untagged
Container,(-13.0, -27.0, -30.0),(4.0, 4.0, 4.5),Container,(-0.7, 0.0, 0.0, 0.7),Untagged
Cube (10),(-1.4, -22.8, -25.7),(1.0, 1.0, 1.0),pb_Mesh72458,(0.0, 0.9, 0.4, 0.0),Untagged
Container,(-14.5, -27.0, -40.0),(4.0, 4.0, 4.5),Container,(-0.7, 0.0, 0.0, 0.7),Untagged
Container,(1.0, -27.0, -40.0),(4.0, 4.0, 4.5),Container,(-0.7, 0.0, 0.0, 0.7),Untagged
Cube (8),(9.8, -24.2, -39.4),(1.0, 1.0, 1.0),pb_Mesh72442,(0.3, 0.6, 0.3, -0.7),Untagged
Cube (7),(19.1, -24.5, -39.6),(1.0, 1.0, 1.0),pb_Mesh72498,(-0.3, 0.7, 0.3, 0.6),Untagged
Container,(28.0, -27.0, -40.0),(4.0, 4.0, 4.5),Container,(-0.7, 0.0, 0.0, 0.7),Untagged
SnowballPile,(32.1, -27.0, -44.4),(1.7, 1.7, 1.7),SnowballPile,(0.0, -0.6, 0.0, 0.8),Untagged
Ladder (21),(35.8, -24.0, -40.0),(1.0, 1.0, 1.0),pb_Mesh-172308,(0.0, -0.7, 0.0, -0.7),Untagged
Cube (6),(23.0, -24.5, -35.1),(1.0, 1.0, 1.0),pb_Mesh72478,(0.0, 0.9, 0.4, 0.0),Untagged
Container,(29.0, -27.0, -21.8),(4.0, 4.0, 4.5),Container,(-0.5, -0.5, -0.5, 0.5),Untagged
Container,(17.0, -27.0, -21.8),(4.0, 4.0, 4.5),Container,(-0.5, -0.5, -0.5, 0.5),Untagged
SnowballPile,(15.5, -27.0, -31.1),(1.7, 1.7, 1.7),SnowballPile,(0.0, -0.4, 0.0, 0.9),Untagged
SnowballPile,(35.3, -27.0, -12.8),(1.7, 1.7, 1.7),SnowballPile,(0.0, -0.6, 0.0, 0.8),Untagged
Ladder,(27.0, -24.0, -3.0),(1.0, 1.0, 1.0),pb_Mesh-172636,(0.0, 0.7, 0.0, 0.7),Untagged
Container,(35.3, -27.0, 7.5),(4.0, 4.0, 4.5),Container,(-0.5, 0.5, 0.5, 0.5),Untagged
Cube (14),(43.2, -21.7, -0.2),(1.0, 1.0, 1.0),pb_Mesh72510,(0.4, 0.0, 0.0, -0.9),Untagged
Container,(43.0, -27.0, 7.5),(4.0, 4.0, 4.5),Container,(-0.5, 0.5, 0.5, 0.5),Untagged
Dumptruck_01_Cube,(33.0, -26.3, 36.3),(1.5, 1.5, 1.5),Dumptruck_01_Cube,(0.0, 0.9, 0.0, 0.4),Untagged
Ladder (2),(21.0, -24.0, 23.0),(1.0, 1.0, 1.0),pb_Mesh-172270,(0.0, 0.0, 0.0, 1.0),Untagged
Ladder (3),(7.0, -24.0, 17.0),(1.0, 1.0, 1.0),pb_Mesh-172866,(0.0, 0.0, 0.0, -1.0),Untagged
SnowballPile,(7.8, -27.0, 21.1),(1.7, 1.7, 1.7),SnowballPile,(0.0, 0.4, 0.0, 0.9),Untagged
Ladder (10),(11.4, -16.0, 31.6),(1.0, 1.0, 1.0),pb_Mesh-172468,(0.0, 1.0, 0.0, 0.0),Untagged
Container,(7.5, -19.5, 35.3),(4.0, 4.0, 4.5),Container,(0.5, -0.5, 0.5, -0.5),Untagged
Container,(-0.5, -27.0, 35.3),(4.0, 4.0, 4.5),Container,(0.7, 0.0, 0.0, -0.7),Untagged
Cube (9),(0.9, -22.6, 31.3),(1.0, 1.0, 1.0),pb_Mesh72374,(-0.4, 0.0, 0.0, 0.9),Untagged
Ladder (20),(-0.6, -24.0, 38.9),(1.0, 1.0, 1.0),pb_Mesh-172906,(0.0, 0.0, 0.0, -1.0),Untagged
Container,(-15.8, -19.5, 35.3),(4.0, 4.0, 4.5),Container,(0.5, -0.5, 0.5, -0.5),Untagged
SnowballPile,(-17.9, -27.0, 40.7),(1.7, 1.7, 1.7),SnowballPile,(0.0, -0.4, 0.0, 0.9),Untagged
Scout_Car,(-9.8, -24.3, 27.5),(51.4, 3.7, 17.0),Scout_Car,(-0.5, 0.5, 0.5, 0.5),Untagged
Ladder (25),(-23.7, -24.0, 34.6),(1.0, 1.0, 1.0),pb_Mesh-173248,(0.0, 0.7, 0.0, 0.7),Untagged
Container,(-30.9, -19.5, 35.3),(4.0, 4.0, 4.5),Container,(0.5, -0.5, 0.5, -0.5),Untagged
